sent_index,sent_txt,pos_seq,metaphor_seq,genre
a1f-fragment10_179,"Given the already appalling and growing rate of homelessness and lack of hostel facilities in London , when more people than ever will not only have to endure the freezing nights of the coming winter on the streets , but perhaps permanent homelessness , it was terrible to see the situation being exploited for a joke by your advertisement : Just the thing now the evenings are drawing in .","['VERB', 'DET', 'ADV', 'ADJ', 'CCONJ', 'VERB', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'PROPN', 'PUNCT', 'ADV', 'ADJ', 'NOUN', 'ADP', 'ADV', 'VERB', 'ADV', 'ADV', 'VERB', 'PART', 'VERB', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'ADJ', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADJ', 'PART', 'VERB', 'DET', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADV', 'DET', 'NOUN', 'ADV', 'DET', 'NOUN', 'VERB', 'VERB', 'ADV', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",news
fpb-fragment01_1207,"Elinor was sometimes at a loss for the right word , or name , and then became impatient with herself ; she was often frustrated because she could n't move as swiftly as she did before .","['NOUN', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'CCONJ', 'NOUN', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'ADJ', 'ADP', 'PRON', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'PRON', 'VERB', 'ADV', 'VERB', 'ADV', 'ADV', 'ADP', 'PRON', 'VERB', 'ADV', 'PUNCT']","[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",fiction
b1g-fragment02_1091,"Fortunately , technical developments have ensured that the increase in computing power per unit cost has been growing at about an order of magnitude every 6 years over the last three decades .","['ADV', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'DET', 'NUM', 'NOUN', 'ADP', 'DET', 'ADJ', 'NUM', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",academic
g0l-fragment01_377,He laughed .,"['PRON', 'VERB', 'PUNCT']","[0, 0, 0]",fiction
kbw-fragment17_6281,and it does mean that they can relax you know about work and everything,"['CCONJ', 'PRON', 'VERB', 'VERB', 'ADP', 'PRON', 'VERB', 'VERB', 'PRON', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN']","[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",conversation
kb7-fragment10_2253,"You know I mean other than that , no I mean it it 's not as if","['PRON', 'VERB', 'PRON', 'VERB', 'ADJ', 'ADP', 'DET', 'PUNCT', 'INTJ', 'PRON', 'VERB', 'PRON', 'PRON', 'VERB', 'ADV', 'ADP', 'ADP']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",conversation
fpb-fragment01_1371,"She was in hospital for six weeks , and I was the only one who knew it was n't an accident .","['PRON', 'VERB', 'ADP', 'NOUN', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'DET', 'ADJ', 'NUM', 'NOUN', 'VERB', 'PRON', 'VERB', 'ADV', 'DET', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
clp-fragment01_745,Task analysis has not and can not be reduced to a set of standardised procedures which the aspiring analyst could acquire in a formal training course .,"['NOUN', 'NOUN', 'VERB', 'ADV', 'CCONJ', 'VERB', 'ADV', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'DET', 'VERB', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0]",academic
a7y-fragment03_203,It was surely repugnant to commonsense that in this area of legal activity a local authority should be prosecuted by one of its tenants without first being given the opportunity by that tenant to remedy the consequences of a neglect to repair the dwelling that the tenant occupied .,"['PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'VERB', 'DET', 'ADP', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'DET', 'ADJ', 'NOUN', 'VERB', 'VERB', 'VERB', 'ADP', 'NUM', 'ADP', 'ADJ', 'NOUN', 'ADP', 'ADV', 'VERB', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT']","[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",news
g0l-fragment01_218,They did n't want the Yanks stumbling in and screwing up in an attempt to force the issue .,"['PRON', 'VERB', 'ADV', 'VERB', 'DET', 'PROPN', 'VERB', 'ADP', 'CCONJ', 'VERB', 'PART', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]",fiction
kcf-fragment14_1434,And do n't forget we 're going down the fracture clinic Alison !,"['CCONJ', 'VERB', 'ADV', 'VERB', 'PRON', 'VERB', 'VERB', 'ADP', 'DET', 'ADJ', 'NOUN', 'PROPN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",conversation
cb5-fragment02_3261,"I 'm afraid it 's true , Mrs Carson told them .","['PRON', 'VERB', 'ADJ', 'PRON', 'VERB', 'ADJ', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'PRON', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
kbw-fragment04_2695,You 're going to watch Rosie and Jim dear .,"['PRON', 'VERB', 'VERB', 'PART', 'VERB', 'PROPN', 'CCONJ', 'PROPN', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",conversation
kbh-fragment02_236,"Charlotte please do n't talk with your mouth full , there 's a good girl .","['PROPN', 'INTJ', 'VERB', 'ADV', 'VERB', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'PUNCT', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",conversation
kbw-fragment42_14920,"When we 've had half a whole , I 'm thinking half a whole","['ADV', 'PRON', 'VERB', 'VERB', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'PRON', 'NOUN', 'VERB', 'ADJ', 'DET', 'NOUN']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",conversation
ea7-fragment03_846,He became Robert of Jerusalem to his contemporaries ; his deeds were recorded in the Song of Antioch ; his pious bravery totally expunged the memory of Robert the Frisian 's usurpation ; and after his death his son Baldwin VII harped on his father 's achievement to justify his substantial use of coercion against the enemies of the church .,"['PRON', 'VERB', 'PROPN', 'ADP', 'PROPN', 'ADP', 'ADJ', 'NOUN', 'PUNCT', 'ADJ', 'NOUN', 'VERB', 'VERB', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PUNCT', 'ADJ', 'ADJ', 'NOUN', 'ADV', 'VERB', 'DET', 'NOUN', 'ADP', 'PROPN', 'DET', 'PROPN', 'PART', 'NOUN', 'PUNCT', 'CCONJ', 'ADP', 'ADJ', 'NOUN', 'ADJ', 'NOUN', 'PROPN', 'PROPN', 'VERB', 'ADP', 'ADJ', 'NOUN', 'PART', 'NOUN', 'PART', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",academic
ab9-fragment03_986,"You are letting this disappointment and that 's all it is , you 're still a very well-off young woman get in the way of everything .","['PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'CCONJ', 'DET', 'VERB', 'DET', 'PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'ADV', 'DET', 'ADV', 'PART', 'ADJ', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","[0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0]",fiction
fet-fragment01_79,Under his arm he carried a folded newspaper with that day 's headline : PEACE MOTHER DIES .,"['ADP', 'ADJ', 'NOUN', 'PRON', 'VERB', 'DET', 'VERB', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'NOUN', 'PUNCT', 'PROPN', 'PROPN', 'VERB', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",fiction
kcv-fragment42_4497,Eating eating all day long overlap,"['VERB', 'VERB', 'DET', 'NOUN', 'ADJ', 'NOUN']","[0, 0, 0, 0, 0, 0]",conversation
fpb-fragment01_1101,You never want to make a man the centre of your existence .,"['PRON', 'ADV', 'VERB', 'PART', 'VERB', 'DET', 'NOUN', 'DET', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]",fiction
b1g-fragment02_1157,"In these circumstances , it is scarcely surprising that there is evidence of international and interdisciplinary dispute , as Terney ( 1989 ) has chronicled in regard to IGBP .","['ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'ADP', 'ADV', 'VERB', 'NOUN', 'ADP', 'ADJ', 'CCONJ', 'ADJ', 'NOUN', 'PUNCT', 'ADP', 'PROPN', 'PUNCT', 'NUM', 'PUNCT', 'VERB', 'VERB', 'ADP', 'NOUN', 'ADP', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",academic
clp-fragment01_762,Those not involved find it difficult to gain very much from a presentation of a task description .,"['DET', 'ADV', 'VERB', 'VERB', 'PRON', 'ADJ', 'PART', 'VERB', 'ADV', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'NOUN', 'PUNCT']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",academic
kb7-fragment10_2148,"I mean I did have some of the boxes in there until I sort of , thought while I was sorting things out .","['PRON', 'VERB', 'PRON', 'VERB', 'VERB', 'DET', 'ADP', 'DET', 'NOUN', 'ADP', 'ADV', 'ADP', 'PRON', 'ADV', 'ADV', 'PUNCT', 'VERB', 'ADP', 'PRON', 'VERB', 'VERB', 'NOUN', 'PART', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]",conversation
ac2-fragment06_1507,But I can understand how you feel .,"['CCONJ', 'PRON', 'VERB', 'VERB', 'ADV', 'PRON', 'VERB', 'PUNCT']","[0, 0, 0, 0, 0, 0, 1, 0]",fiction
c8t-fragment01_40,"It was , he judged , almost twenty feet long and obviously served the triple purpose of sitting room , working place and office .","['PRON', 'VERB', 'PUNCT', 'PRON', 'VERB', 'PUNCT', 'ADV', 'NUM', 'NOUN', 'ADJ', 'CCONJ', 'ADV', 'VERB', 'DET', 'ADJ', 'NOUN', 'ADP', 'VERB', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'CCONJ', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
c8t-fragment01_48,"Was it the faint smell of herbs and newly baked dough , the soft ticking of the wall-mounted clock which seemed both to mark the passing seconds and yet to hold time in thrall , the rhythmic moaning of the sea through the half-open door , the sense of well-fed ease conveyed by the two cushioned armchairs , the open hearth ?","['VERB', 'PRON', 'DET', 'ADJ', 'NOUN', 'ADP', 'NOUN', 'CCONJ', 'ADV', 'VERB', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'VERB', 'NOUN', 'ADJ', 'VERB', 'DET', 'PART', 'VERB', 'DET', 'VERB', 'NOUN', 'CCONJ', 'ADV', 'PART', 'VERB', 'NOUN', 'ADP', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'PUNCT', 'DET', 'NOUN', 'ADP', 'VERB', 'NOUN', 'VERB', 'ADP', 'DET', 'NUM', 'VERB', 'NOUN', 'PUNCT', 'DET', 'ADJ', 'NOUN', 'PUNCT']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
a1n-fragment18_345,"Had either of the teams won , they would have taken the League leadership .","['VERB', 'DET', 'ADP', 'DET', 'NOUN', 'VERB', 'PUNCT', 'PRON', 'VERB', 'VERB', 'VERB', 'DET', 'PROPN', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",news
a7s-fragment03_67,"He described being taken over the years to see his sick , and finally dying and almost certainly innocent father in another prison .","['PRON', 'VERB', 'VERB', 'VERB', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'ADJ', 'ADJ', 'PUNCT', 'CCONJ', 'ADV', 'VERB', 'CCONJ', 'ADV', 'ADV', 'ADJ', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",news
kbw-fragment42_15064,daddy,['NOUN'],[0],conversation
cb5-fragment02_3198,She sat down and prepared to wait as long as was necessary .,"['PRON', 'VERB', 'PART', 'CCONJ', 'VERB', 'PART', 'VERB', 'ADV', 'ADV', 'ADP', 'VERB', 'ADJ', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",fiction
ahc-fragment60_1246,"A mile above the shepherd 's hut the hillsides ceased their upward rolling and curved together to form a dead-end valley of broad-breasted slopes five miles from the nearest tarmac road , hidden deep in the folds of the moors .","['DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PART', 'VERB', 'DET', 'NOUN', 'VERB', 'ADJ', 'ADJ', 'NOUN', 'CCONJ', 'VERB', 'ADV', 'PART', 'VERB', 'DET', 'NOUN', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'NUM', 'NOUN', 'ADP', 'DET', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'VERB', 'ADV', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",news
amm-fragment02_1642,"It turns out that our animal was able to see in almost every direction upwards , downwards , sideways and forwards , and even backwards , because the eyes bulged out beyond the line of the rest of the body .","['PRON', 'VERB', 'PART', 'ADP', 'ADJ', 'NOUN', 'VERB', 'ADJ', 'PART', 'VERB', 'ADP', 'ADV', 'DET', 'NOUN', 'ADV', 'PUNCT', 'ADV', 'PUNCT', 'ADV', 'CCONJ', 'ADV', 'PUNCT', 'CCONJ', 'ADV', 'ADV', 'PUNCT', 'ADP', 'DET', 'NOUN', 'VERB', 'PART', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'DET', 'NOUN', 'PUNCT']","[0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",academic
a1h-fragment05_75,"Like many young American composers he studied with Nadia Boulanger , but after 1925 set out to achieve the discipline of spontaneity which he found in Stein 's writings .","['ADP', 'ADJ', 'ADJ', 'ADJ', 'NOUN', 'PRON', 'VERB', 'ADP', 'PROPN', 'PROPN', 'PUNCT', 'CCONJ', 'ADP', 'NUM', 'VERB', 'PART', 'PART', 'VERB', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADJ', 'PRON', 'VERB', 'ADP', 'PROPN', 'PART', 'NOUN', 'PUNCT']","[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",news
