sent_index,sent_txt,pos_seq,metaphor_seq,genre,sent_txt_tokenized,sent_bert_tokens,sent_txt_tokenized_bert,BIO_seq,split
news_03_v.4.txt_0071,６月６日，天还未亮，宁夏回族自治区党委大院便热闹起来，一辆别致的＂东风＂加长大卡车满载道具开了进来。,"['t', 't', 'w', 'n', 'd', 'd', 'v', 'w', 'ns', 'nz', 'n', 'n', 'n', 'd', 'a', 'v', 'w', 'm', 'q', 'a', 'u', 'w', 'nz', 'w', 'v', 'a', 'n', 'v', 'n', 'v', 'u', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",News,"['６月', '６日', '，', '天', '还', '未', '亮', '，', '宁夏', '回族', '自治区', '党委', '大院', '便', '热闹', '起来', '，', '一', '辆', '别致', '的', '＂', '东风', '＂', '加长', '大', '卡车', '满载', '道具', '开', '了', '进来', '。']","['６', '月', '６', '日', '，', '天', '还', '未', '亮', '，', '宁', '夏', '回', '族', '自', '治', '区', '党', '委', '大', '院', '便', '热', '闹', '起', '来', '，', '一', '辆', '别', '致', '的', '＂', '东', '风', '＂', '加', '长', '大', '卡', '车', '满', '载', '道', '具', '开', '了', '进', '来', '。']","[['６', '月'], ['６', '日'], ['，'], ['天'], ['还'], ['未'], ['亮'], ['，'], ['宁', '夏'], ['回', '族'], ['自', '治', '区'], ['党', '委'], ['大', '院'], ['便'], ['热', '闹'], ['起', '来'], ['，'], ['一'], ['辆'], ['别', '致'], ['的'], ['＂'], ['东', '风'], ['＂'], ['加', '长'], ['大'], ['卡', '车'], ['满', '载'], ['道', '具'], ['开'], ['了'], ['进', '来'], ['。']]","[['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['B', 'I'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O']]",train
news_06_v.4.txt_0017,而１７％的企业则表示＂没有得到政府多大的帮助＂。,"['c', 'm', 'u', 'n', 'd', 'v', 'w', 'd', 'v', 'n', 'm', 'a', 'u', 'vn', 'w', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]",News,"['而', '１７％', '的', '企业', '则', '表示', '＂', '没有', '得到', '政府', '多', '大', '的', '帮助', '＂', '。']","['而', '１', '##７', '％', '的', '企', '业', '则', '表', '示', '＂', '没', '有', '得', '到', '政', '府', '多', '大', '的', '帮', '助', '＂', '。']","[['而'], ['１', '##７', '％'], ['的'], ['企', '业'], ['则'], ['表', '示'], ['＂'], ['没', '有'], ['得', '到'], ['政', '府'], ['多'], ['大'], ['的'], ['帮', '助'], ['＂'], ['。']]","[['O'], ['O', 'O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['B', 'I'], ['O', 'O'], ['O'], ['B'], ['O'], ['O', 'O'], ['O'], ['O']]",train
academic_08_v.4.txt_0011,研究的范围是广泛的。,"['v', 'u', 'n', 'v', 'a', 'u', 'ew']","[0, 0, 1, 0, 0, 0, 0]",Academic,"['研究', '的', '范围', '是', '广泛', '的', '。']","['研', '究', '的', '范', '围', '是', '广', '泛', '的', '。']","[['研', '究'], ['的'], ['范', '围'], ['是'], ['广', '泛'], ['的'], ['。']]","[['O', 'O'], ['O'], ['B', 'I'], ['O'], ['O', 'O'], ['O'], ['O']]",train
fiction_10_v.4.txt_0005,船老板一见是丁家少爷，二话没有，扯起锚，张开帆，顺风上路了。,"['n', 'n', 'm', 'v', 'v', 'nr', 'n', 'n', 'w', 'n', 'v', 'w', 'v', 'v', 'n', 'w', 'v', 'n', 'w', 'v', 'v', 'u', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fiction,"['船', '老板', '一', '见', '是', '丁', '家', '少爷', '，', '二话', '没有', '，', '扯', '起', '锚', '，', '张开', '帆', '，', '顺风', '上路', '了', '。']","['船', '老', '板', '一', '见', '是', '丁', '家', '少', '爷', '，', '二', '话', '没', '有', '，', '扯', '起', '锚', '，', '张', '开', '帆', '，', '顺', '风', '上', '路', '了', '。']","[['船'], ['老', '板'], ['一'], ['见'], ['是'], ['丁'], ['家'], ['少', '爷'], ['，'], ['二', '话'], ['没', '有'], ['，'], ['扯'], ['起'], ['锚'], ['，'], ['张', '开'], ['帆'], ['，'], ['顺', '风'], ['上', '路'], ['了'], ['。']]","[['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O']]",train
fiction_18_v.4.txt_0054,＂你漂着吧。,"['w', 'r', 'v', 'u', 'y', 'ew']","[0, 0, 0, 0, 0, 0]",Fiction,"['＂', '你', '漂', '着', '吧', '。']","['＂', '你', '漂', '着', '吧', '。']","[['＂'], ['你'], ['漂'], ['着'], ['吧'], ['。']]","[['O'], ['O'], ['O'], ['O'], ['O'], ['O']]",train
fiction_13_v.4.txt_0021,母亲不肯被推进屋里去。,"['n', 'v', 'p', 'v', 's', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0]",Fiction,"['母亲', '不肯', '被', '推进', '屋里', '去', '。']","['母', '亲', '不', '肯', '被', '推', '进', '屋', '里', '去', '。']","[['母', '亲'], ['不', '肯'], ['被'], ['推', '进'], ['屋', '里'], ['去'], ['。']]","[['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O']]",train
fiction_12_v.4.txt_0095,它通人性，恋人。,"['r', 'v', 'n', 'w', 'v', 'n', 'ew']","[0, 1, 0, 0, 1, 0, 0]",Fiction,"['它', '通', '人性', '，', '恋', '人', '。']","['它', '通', '人', '性', '，', '恋', '人', '。']","[['它'], ['通'], ['人', '性'], ['，'], ['恋'], ['人'], ['。']]","[['O'], ['B'], ['O', 'O'], ['O'], ['B'], ['O'], ['O']]",train
academic_01_v.4.txt_0008,双亲中一人肥胖，子女肥胖发病率为５０％；,"['n', 'f', 'm', 'n', 'a', 'w', 'n', 'an', 'n', 'v', 'm', 'ew']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['双亲', '中', '一', '人', '肥胖', '，', '子女', '肥胖', '发病率', '为', '５０％', '；']","['双', '亲', '中', '一', '人', '肥', '胖', '，', '子', '女', '肥', '胖', '发', '病', '率', '为', '５０', '％', '；']","[['双', '亲'], ['中'], ['一'], ['人'], ['肥', '胖'], ['，'], ['子', '女'], ['肥', '胖'], ['发', '病', '率'], ['为'], ['５０', '％'], ['；']]","[['O', 'O'], ['B'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O', 'O'], ['O'], ['O', 'O'], ['O']]",train
news_12_v.4.txt_0042,站在我后面的人听了售票员的回答，都起哄了：＂骗人！,"['v', 'p', 'r', 'f', 'u', 'n', 'v', 'u', 'n', 'u', 'vn', 'w', 'd', 'v', 'u', 'w', 'w', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",News,"['站', '在', '我', '后面', '的', '人', '听', '了', '售票员', '的', '回答', '，', '都', '起哄', '了', '：', '＂', '骗人', '！']","['站', '在', '我', '后', '面', '的', '人', '听', '了', '售', '票', '员', '的', '回', '答', '，', '都', '起', '哄', '了', '：', '＂', '骗', '人', '！']","[['站'], ['在'], ['我'], ['后', '面'], ['的'], ['人'], ['听'], ['了'], ['售', '票', '员'], ['的'], ['回', '答'], ['，'], ['都'], ['起', '哄'], ['了'], ['：'], ['＂'], ['骗', '人'], ['！']]","[['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O']]",train
news_20_v.4.txt_0033,他说：＂现在进口的多是农业生产资料，是今年春耕所需要的，耽误不得。＂,"['r', 'v', 'w', 'w', 't', 'v', 'u', 'm', 'v', 'n', 'n', 'w', 'v', 't', 'v', 'u', 'v', 'u', 'w', 'v', 'u', 'ew', 'w']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",News,"['他', '说', '：', '＂', '现在', '进口', '的', '多', '是', '农业', '生产资料', '，', '是', '今年', '春耕', '所', '需要', '的', '，', '耽误', '不得', '。', '＂']","['他', '说', '：', '＂', '现', '在', '进', '口', '的', '多', '是', '农', '业', '生', '产', '资', '料', '，', '是', '今', '年', '春', '耕', '所', '需', '要', '的', '，', '耽', '误', '不', '得', '。', '＂']","[['他'], ['说'], ['：'], ['＂'], ['现', '在'], ['进', '口'], ['的'], ['多'], ['是'], ['农', '业'], ['生', '产', '资', '料'], ['，'], ['是'], ['今', '年'], ['春', '耕'], ['所'], ['需', '要'], ['的'], ['，'], ['耽', '误'], ['不', '得'], ['。'], ['＂']]","[['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O', 'O', 'O', 'O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O']]",train
news_13_v.4.txt_0080,散会后，几个负责人边走边议论说：刁市长动真格啦！,"['v', 'f', 'w', 'm', 'q', 'n', 'd', 'v', 'd', 'v', 'n', 'w', 'nr', 'n', 'v', 'n', 'y', 'ew']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",News,"['散会', '后', '，', '几', '个', '负责人', '边', '走', '边', '议论', '说', '：', '刁', '市长', '动', '真格', '啦', '！']","['散', '会', '后', '，', '几', '个', '负', '责', '人', '边', '走', '边', '议', '论', '说', '：', '刁', '市', '长', '动', '真', '格', '啦', '！']","[['散', '会'], ['后'], ['，'], ['几'], ['个'], ['负', '责', '人'], ['边'], ['走'], ['边'], ['议', '论'], ['说'], ['：'], ['刁'], ['市', '长'], ['动'], ['真', '格'], ['啦'], ['！']]","[['O', 'O'], ['B'], ['O'], ['O'], ['O'], ['O', 'O', 'O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O', 'O'], ['B'], ['O', 'O'], ['O'], ['O']]",train
academic_30_v.4.txt_0068,培养有远见、有魄力、具有国际竞争意识和竞争能力的管理干部和企业家是一项带有战略性的工作。,"['v', 'v', 'n', 'w', 'v', 'n', 'w', 'v', 'n', 'vn', 'n', 'c', 'vn', 'n', 'u', 'vn', 'n', 'c', 'n', 'v', 'm', 'q', 'v', 'n', 'u', 'n', 'ew']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",Academic,"['培养', '有', '远见', '、', '有', '魄力', '、', '具有', '国际', '竞争', '意识', '和', '竞争', '能力', '的', '管理', '干部', '和', '企业家', '是', '一', '项', '带有', '战略性', '的', '工作', '。']","['培', '养', '有', '远', '见', '、', '有', '魄', '力', '、', '具', '有', '国', '际', '竞', '争', '意', '识', '和', '竞', '争', '能', '力', '的', '管', '理', '干', '部', '和', '企', '业', '家', '是', '一', '项', '带', '有', '战', '略', '性', '的', '工', '作', '。']","[['培', '养'], ['有'], ['远', '见'], ['、'], ['有'], ['魄', '力'], ['、'], ['具', '有'], ['国', '际'], ['竞', '争'], ['意', '识'], ['和'], ['竞', '争'], ['能', '力'], ['的'], ['管', '理'], ['干', '部'], ['和'], ['企', '业', '家'], ['是'], ['一'], ['项'], ['带', '有'], ['战', '略', '性'], ['的'], ['工', '作'], ['。']]","[['B', 'I'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['B', 'I'], ['O', 'O'], ['O'], ['O', 'O', 'O'], ['O'], ['O'], ['O'], ['B', 'I'], ['O', 'O', 'O'], ['O'], ['O', 'O'], ['O']]",train
news_12_v.4.txt_0022,售票窗前写着８时１５分开始售票，等到９时还不见开窗，我上前看个究竟，只见售票窗上贴着一张小纸条：开会请稍候，９时５０分售票。,"['vn', 'ng', 'f', 'v', 'u', 't', 't', 'v', 'v', 'w', 'v', 't', 'd', 'v', 'v', 'ng', 'w', 'r', 'v', 'v', 'q', 'n', 'w', 'v', 'vn', 'ng', 'f', 'v', 'u', 'm', 'q', 'a', 'n', 'w', 'v', 'v', 'v', 'w', 't', 't', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",News,"['售票', '窗', '前', '写', '着', '８时', '１５分', '开始', '售票', '，', '等到', '９时', '还', '不见', '开', '窗', '，', '我', '上前', '看', '个', '究竟', '，', '只见', '售票', '窗', '上', '贴', '着', '一', '张', '小', '纸条', '：', '开会', '请', '稍候', '，', '９时', '５０分', '售票', '。']","['售', '票', '窗', '前', '写', '着', '８', '时', '１５', '分', '开', '始', '售', '票', '，', '等', '到', '９', '时', '还', '不', '见', '开', '窗', '，', '我', '上', '前', '看', '个', '究', '竟', '，', '只', '见', '售', '票', '窗', '上', '贴', '着', '一', '张', '小', '纸', '条', '：', '开', '会', '请', '稍', '候', '，', '９', '时', '５０', '分', '售', '票', '。']","[['售', '票'], ['窗'], ['前'], ['写'], ['着'], ['８', '时'], ['１５', '分'], ['开', '始'], ['售', '票'], ['，'], ['等', '到'], ['９', '时'], ['还'], ['不', '见'], ['开'], ['窗'], ['，'], ['我'], ['上', '前'], ['看'], ['个'], ['究', '竟'], ['，'], ['只', '见'], ['售', '票'], ['窗'], ['上'], ['贴'], ['着'], ['一'], ['张'], ['小'], ['纸', '条'], ['：'], ['开', '会'], ['请'], ['稍', '候'], ['，'], ['９', '时'], ['５０', '分'], ['售', '票'], ['。']]","[['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O']]",train
fiction_10_v.4.txt_0007,船靠码头之后，副官坚决要请大家过个早。,"['n', 'v', 'n', 'f', 'w', 'n', 'ad', 'v', 'v', 'r', 'v', 'q', 'n', 'ew']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Fiction,"['船', '靠', '码头', '之后', '，', '副官', '坚决', '要', '请', '大家', '过', '个', '早', '。']","['船', '靠', '码', '头', '之', '后', '，', '副', '官', '坚', '决', '要', '请', '大', '家', '过', '个', '早', '。']","[['船'], ['靠'], ['码', '头'], ['之', '后'], ['，'], ['副', '官'], ['坚', '决'], ['要'], ['请'], ['大', '家'], ['过'], ['个'], ['早'], ['。']]","[['O'], ['O'], ['O', 'O'], ['B', 'I'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O'], ['O', 'O'], ['B'], ['O'], ['O'], ['O']]",train
fiction_15_v.4.txt_0082,姑娘就让骆驼卧下，让他骑。,"['n', 'd', 'v', 'n', 'v', 'v', 'w', 'v', 'r', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Fiction,"['姑娘', '就', '让', '骆驼', '卧', '下', '，', '让', '他', '骑', '。']","['姑', '娘', '就', '让', '骆', '驼', '卧', '下', '，', '让', '他', '骑', '。']","[['姑', '娘'], ['就'], ['让'], ['骆', '驼'], ['卧'], ['下'], ['，'], ['让'], ['他'], ['骑'], ['。']]","[['O', 'O'], ['O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O']]",train
news_21_v.4.txt_0008,在我们这个工地，没有年节，工程一开始就没停过工＂。,"['p', 'r', 'r', 'n', 'w', 'v', 't', 'w', 'n', 'm', 'v', 'd', 'd', 'v', 'u', 'n', 'w', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",News,"['在', '我们', '这个', '工地', '，', '没有', '年节', '，', '工程', '一', '开始', '就', '没', '停', '过', '工', '＂', '。']","['在', '我', '们', '这', '个', '工', '地', '，', '没', '有', '年', '节', '，', '工', '程', '一', '开', '始', '就', '没', '停', '过', '工', '＂', '。']","[['在'], ['我', '们'], ['这', '个'], ['工', '地'], ['，'], ['没', '有'], ['年', '节'], ['，'], ['工', '程'], ['一'], ['开', '始'], ['就'], ['没'], ['停'], ['过'], ['工'], ['＂'], ['。']]","[['O'], ['O', 'O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O', 'O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O'], ['O']]",train
