sent_index,sent_txt,pos_seq,metaphor_seq,genre,sent_txt_tokenized
academic_01_v.4.txt_0011,即使在不同环境成长，其体重差别也小于异卵孪生子之间的差别。,"['c', 'p', 'a', 'n', 'v', 'w', 'r', 'n', 'n', 'd', 'v', 'ag', 'n', 'n', 'f', 'u', 'n', 'ew']","[0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",Academic,"['即使', '在', '不同', '环境', '成长', '，', '其', '体重', '差别', '也', '小于', '异', '卵', '孪生子', '之间', '的', '差别', '。']"
academic_01_v.4.txt_0012,肥胖患者不但肥胖具有遗传性，而且脂肪分布的部位及骨骼状态也有遗传性。,"['a', 'n', 'c', 'an', 'v', 'n', 'w', 'c', 'n', 'v', 'u', 'n', 'c', 'n', 'n', 'd', 'v', 'n', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['肥胖', '患者', '不但', '肥胖', '具有', '遗传性', '，', '而且', '脂肪', '分布', '的', '部位', '及', '骨骼', '状态', '也', '有', '遗传性', '。']"
academic_01_v.4.txt_0013,肥胖的遗传倾向还表现在脂肪细胞数目和（或）细胞体积增大。,"['a', 'u', 'vn', 'n', 'd', 'v', 'p', 'n', 'n', 'n', 'c', 'w', 'c', 'w', 'n', 'n', 'v', 'ew']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['肥胖', '的', '遗传', '倾向', '还', '表现', '在', '脂肪', '细胞', '数目', '和', '（', '或', '）', '细胞', '体积', '增大', '。']"
academic_01_v.4.txt_0014,二、饮食、生活习惯及社会环境因素,"['m', 'w', 'n', 'w', 'n', 'n', 'c', 'n', 'n', 'n']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Academic,"['二', '、', '饮食', '、', '生活', '习惯', '及', '社会', '环境', '因素']"
academic_01_v.4.txt_0015,肥胖者往往有饮食增多史，食量较大，喜食甜食或每餐中间加食引起能量过剩。,"['a', 'k', 'd', 'v', 'n', 'vn', 'ng', 'w', 'n', 'd', 'a', 'w', 'v', 'v', 'n', 'c', 'r', 'ng', 'f', 'v', 'v', 'v', 'n', 'v', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]",Academic,"['肥胖', '者', '往往', '有', '饮食', '增多', '史', '，', '食量', '较', '大', '，', '喜', '食', '甜食', '或', '每', '餐', '中间', '加', '食', '引起', '能量', '过剩', '。']"
academic_01_v.4.txt_0016,在同等热量情况下，有睡前进食及晚餐多食的习惯。,"['p', 'b', 'n', 'n', 'f', 'w', 'v', 'v', 'f', 'v', 'c', 'n', 'ad', 'v', 'u', 'n', 'ew']","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['在', '同等', '热量', '情况', '下', '，', '有', '睡', '前', '进食', '及', '晚餐', '多', '食', '的', '习惯', '。']"
academic_01_v.4.txt_0017,体力活动过少或因骨折、结核、肝炎或其他原因而卧床休息，热量消耗少而引起肥胖。,"['n', 'vn', 'd', 'a', 'c', 'p', 'v', 'w', 'n', 'w', 'n', 'c', 'r', 'n', 'c', 'v', 'v', 'w', 'n', 'v', 'a', 'c', 'v', 'an', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['体力', '活动', '过', '少', '或', '因', '骨折', '、', '结核', '、', '肝炎', '或', '其他', '原因', '而', '卧床', '休息', '，', '热量', '消耗', '少', '而', '引起', '肥胖', '。']"
academic_01_v.4.txt_0018,尤其人到中年以后，体力劳动量逐渐下降，常常脂肪臃存在腹部与臀部。,"['d', 'n', 'v', 't', 'f', 'w', 'n', 'n', 'd', 'v', 'w', 'd', 'n', 'ag', 'v', 'p', 'n', 'c', 'n', 'ew']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",Academic,"['尤其', '人', '到', '中年', '以后', '，', '体力', '劳动量', '逐渐', '下降', '，', '常常', '脂肪', '臃', '存', '在', '腹部', '与', '臀部', '。']"
academic_01_v.4.txt_0019,大部分人停止有规律的运动以后即发展成肥胖。,"['m', 'n', 'v', 'v', 'n', 'u', 'vn', 'f', 'd', 'v', 'v', 'an', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Academic,"['大部分', '人', '停止', '有', '规律', '的', '运动', '以后', '即', '发展', '成', '肥胖', '。']"
academic_01_v.4.txt_0020,此外肥胖者之能量消耗与正常人有明显差别，休息及轻微活动时动用能量较正常人少；,"['c', 'a', 'k', 'u', 'n', 'vn', 'p', 'n', 'v', 'a', 'n', 'w', 'v', 'c', 'ad', 'v', 'ng', 'v', 'n', 'd', 'n', 'a', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['此外', '肥胖', '者', '之', '能量', '消耗', '与', '正常人', '有', '明显', '差别', '，', '休息', '及', '轻微', '活动', '时', '动用', '能量', '较', '正常人', '少', '；']"
academic_01_v.4.txt_0021,同样饮食情况下合成代谢较正常人亢进；,"['b', 'n', 'n', 'f', 'v', 'vn', 'd', 'n', 'v', 'ew']","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Academic,"['同样', '饮食', '情况', '下', '合成', '代谢', '较', '正常人', '亢进', '；']"
academic_01_v.4.txt_0022,基础代谢率相对较低，造成能量消耗较少，引起肥胖。,"['l', 'k', 'b', 'd', 'a', 'w', 'v', 'n', 'v', 'd', 'a', 'w', 'v', 'an', 'ew']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['基础代谢', '率', '相对', '较', '低', '，', '造成', '能量', '消耗', '较', '少', '，', '引起', '肥胖', '。']"
academic_02_v.4.txt_0049,在我国一些信奉伊斯兰教的少数民族中，也流传着众多印度故事。,"['p', 'n', 'm', 'v', 'nz', 'u', 'n', 'f', 'w', 'd', 'v', 'u', 'm', 'ns', 'n', 'ew']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['在', '我国', '一些', '信奉', '伊斯兰教', '的', '少数民族', '中', '，', '也', '流传', '着', '众多', '印度', '故事', '。']"
academic_02_v.4.txt_0050,其中，以维吾尔族尤为突出。,"['r', 'w', 'p', 'nz', 'd', 'a', 'ew']","[1, 0, 0, 0, 0, 0, 0]",Academic,"['其中', '，', '以', '维吾尔族', '尤为', '突出', '。']"
academic_02_v.4.txt_0051,例如：维吾尔族民间故事《石鸡》、《能吃铁的老鼠》、《五彩兽》，分别源于印度《五卷书》的《鸽王》、《老鼠吃秤》和《豺狼为王》等等，数量很大。,"['v', 'w', 'nz', 'n', 'n', 'w', 'ng', 'n', 'w', 'w', 'w', 'v', 'v', 'n', 'u', 'n', 'w', 'w', 'w', 'b', 'ng', 'w', 'w', 'd', 'v', 'ns', 'w', 'm', 'q', 'n', 'w', 'u', 'w', 'ng', 'n', 'w', 'w', 'w', 'n', 'v', 'n', 'w', 'c', 'w', 'n', 'v', 'n', 'w', 'u', 'w', 'n', 'd', 'a', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Academic,"['例如', '：', '维吾尔族', '民间', '故事', '《', '石', '鸡', '》', '、', '《', '能', '吃', '铁', '的', '老鼠', '》', '、', '《', '五彩', '兽', '》', '，', '分别', '源于', '印度', '《', '五', '卷', '书', '》', '的', '《', '鸽', '王', '》', '、', '《', '老鼠', '吃', '秤', '》', '和', '《', '豺狼', '为', '王', '》', '等等', '，', '数量', '很', '大', '。']"
academic_02_v.4.txt_0052,这种情形的出现，有两个原因。,"['r', 'n', 'u', 'vn', 'w', 'v', 'm', 'q', 'n', 'ew']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",Academic,"['这种', '情形', '的', '出现', '，', '有', '两', '个', '原因', '。']"
academic_02_v.4.txt_0053,第一个原因，作为＂王子教科书＂的《五卷书》，约于公元５７０年终于外传，被译成波斯巴列维语，后又译成阿拉伯语，进而改写成《卡里莱与笛木乃》，在阿拉伯人民中广泛流传。,"['m', 'q', 'n', 'w', 'p', 'w', 'n', 'n', 'w', 'u', 'w', 'm', 'q', 'n', 'w', 'w', 'd', 'p', 'n', 't', 'd', 'v', 'w', 'p', 'v', 'v', 'nz', 'w', 'f', 'd', 'v', 'v', 'nz', 'w', 'c', 'v', 'v', 'w', 'nr', 'c', 'nr', 'w', 'w', 'p', 'ns', 'n', 'f', 'ad', 'v', 'ew']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0]",Academic,"['第一', '个', '原因', '，', '作为', '＂', '王子', '教科书', '＂', '的', '《', '五', '卷', '书', '》', '，', '约', '于', '公元', '５７０年', '终于', '外传', '，', '被', '译', '成', '波斯巴列维语', '，', '后', '又', '译', '成', '阿拉伯语', '，', '进而', '改写', '成', '《', '卡里莱', '与', '笛木乃', '》', '，', '在', '阿拉伯', '人民', '中', '广泛', '流传', '。']"
academic_02_v.4.txt_0054,在创作著名故事集《一千零一夜》的过程中，阿拉伯人又将《五卷书》中的许多故事融入其中。,"['p', 'v', 'a', 'n', 'ng', 'w', 'm', 'n', 'w', 'u', 'n', 'f', 'w', 'ns', 'n', 'd', 'd', 'w', 'm', 'q', 'n', 'w', 'f', 'u', 'm', 'n', 'v', 'v', 'r', 'ew']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0]",Academic,"['在', '创作', '著名', '故事', '集', '《', '一千零一', '夜', '》', '的', '过程', '中', '，', '阿拉伯', '人', '又', '将', '《', '五', '卷', '书', '》', '中', '的', '许多', '故事', '融', '入', '其中', '。']"
academic_02_v.4.txt_0055,随着伊斯兰教的传播，印度故事在我国维吾尔族中扎下了根。,"['p', 'nz', 'u', 'vn', 'w', 'ns', 'n', 'p', 'n', 'nz', 'f', 'v', 'v', 'u', 'n', 'ew']","[1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0]",Academic,"['随着', '伊斯兰教', '的', '传播', '，', '印度', '故事', '在', '我国', '维吾尔族', '中', '扎', '下', '了', '根', '。']"
academic_02_v.4.txt_0056,第二个原因，维吾尔族聚居地区，曾是丝绸之路的中段，中外文化交流荟萃之地，罗马文化、波斯文化，印度文化和中原文化在这里交汇，异彩纷呈。,"['m', 'q', 'n', 'w', 'nz', 'v', 'n', 'w', 'd', 'v', 'l', 'u', 'f', 'w', 'j', 'n', 'vn', 'v', 'u', 'n', 'w', 'ns', 'n', 'w', 'ns', 'n', 'w', 'ns', 'n', 'c', 'ns', 'n', 'p', 'r', 'v', 'w', 'l', 'ew']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Academic,"['第二', '个', '原因', '，', '维吾尔族', '聚居', '地区', '，', '曾', '是', '丝绸之路', '的', '中段', '，', '中外', '文化', '交流', '荟萃', '之', '地', '，', '罗马', '文化', '、', '波斯', '文化', '，', '印度', '文化', '和', '中原', '文化', '在', '这里', '交汇', '，', '异彩纷呈', '。']"
academic_02_v.4.txt_0057,其中高昌回鹘汗国，从汉文、梵文、藏文翻译或改写了大量佛经，其中包括大量文学故事，著名的佛本生故事就在其中，现在有案可稽的有《恰希塔尼·伊力克伯克》、《哈勒亚木哈拉和帕帕木哈拉》、《两王子的故事》、《神猴和帕德摩瓦提姑娘》、《达尼提·帕拉》等等，此外尚有《佛教诗歌集》、《玄奘传》等作品流传。,"['r', 'ns', 'ns', 'w', 'p', 'nz', 'w', 'nz', 'w', 'nz', 'v', 'c', 'v', 'u', 'm', 'n', 'w', 'r', 'v', 'm', 'n', 'n', 'w', 'a', 'u', 'n', 'nz', 'n', 'd', 'p', 'r', 'w', 't', 'v', 'u', 'v', 'w', 'nr', 'w', 'w', 'w', 'nr', 'c', 'nr', 'w', 'w', 'w', 'm', 'n', 'u', 'n', 'w', 'w', 'w', 'n', 'ng', 'c', 'nr', 'n', 'w', 'w', 'w', 'nr', 'w', 'u', 'w', 'c', 'd', 'v', 'w', 'nz', 'n', 'ng', 'w', 'w', 'w', 'nr', 'ng', 'w', 'u', 'n', 'v', 'ew']","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['其中', '高昌', '回鹘汗国', '，', '从', '汉文', '、', '梵文', '、', '藏文', '翻译', '或', '改写', '了', '大量', '佛经', '，', '其中', '包括', '大量', '文学', '故事', '，', '著名', '的', '佛', '本生', '故事', '就', '在', '其中', '，', '现在', '有案可稽', '的', '有', '《', '恰希塔尼·伊力克伯克', '》', '、', '《', '哈勒亚木哈拉', '和', '帕帕木哈拉', '》', '、', '《', '两', '王子', '的', '故事', '》', '、', '《', '神', '猴', '和', '帕德摩瓦提', '姑娘', '》', '、', '《', '达尼提·帕拉', '》', '等等', '，', '此外', '尚', '有', '《', '佛教', '诗歌', '集', '》', '、', '《', '玄奘', '传', '》', '等', '作品', '流传', '。']"
academic_02_v.4.txt_0058,许多故事民族化程度很高，如《恰希塔尼·力克伯克》，说主人公是菩萨转世，英勇无畏，为民除妖，反映了维吾尔族人民战胜邪恶、渴望光明的强烈愿望。,"['m', 'n', 'vn', 'n', 'd', 'a', 'w', 'v', 'w', 'ns', 'w', 'w', 'v', 'n', 'v', 'n', 'v', 'w', 'a', 'v', 'w', 'p', 'n', 'v', 'ng', 'w', 'v', 'u', 'nz', 'n', 'v', 'an', 'w', 'v', 'an', 'u', 'a', 'n', 'ew']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",Academic,"['许多', '故事', '民族化', '程度', '很', '高', '，', '如', '《', '恰希塔尼·力克伯克', '》', '，', '说', '主人公', '是', '菩萨', '转世', '，', '英勇', '无畏', '，', '为', '民', '除', '妖', '，', '反映', '了', '维吾尔族', '人民', '战胜', '邪恶', '、', '渴望', '光明', '的', '强烈', '愿望', '。']"
academic_02_v.4.txt_0059,在相当长的一段时期内，高昌是佛教的天地，佛教文学不仅在本地十分繁荣，而且对中原地区也有所辐射。,"['p', 'd', 'a', 'u', 'm', 'q', 'n', 'f', 'w', 'ns', 'v', 'nz', 'u', 'n', 'w', 'nz', 'n', 'c', 'p', 'r', 'd', 'a', 'w', 'c', 'p', 'ns', 'n', 'd', 'v', 'vn', 'ew']","[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",Academic,"['在', '相当', '长', '的', '一', '段', '时期', '内', '，', '高昌', '是', '佛教', '的', '天地', '，', '佛教', '文学', '不仅', '在', '本地', '十分', '繁荣', '，', '而且', '对', '中原', '地区', '也', '有所', '辐射', '。']"
academic_02_v.4.txt_0060,后来，随着伊斯兰教的传入并取得统治地位，佛教就衰落下去了，但是，佛教故事已在人民中深深扎根，经过一定的改头换面，与通过伊斯兰教从阿拉伯传来的印度故事一道保留下来。,"['t', 'w', 'p', 'nz', 'u', 'vn', 'c', 'v', 'vn', 'n', 'w', 'nz', 'd', 'v', 'v', 'u', 'w', 'c', 'w', 'nz', 'n', 'd', 'p', 'n', 'f', 'd', 'v', 'w', 'p', 'b', 'u', 'i', 'w', 'c', 'p', 'nz', 'p', 'ns', 'v', 'u', 'ns', 'n', 'd', 'v', 'v', 'ew']","[0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]",Academic,"['后来', '，', '随着', '伊斯兰教', '的', '传入', '并', '取得', '统治', '地位', '，', '佛教', '就', '衰落', '下去', '了', '，', '但是', '，', '佛教', '故事', '已', '在', '人民', '中', '深深', '扎根', '，', '经过', '一定', '的', '改头换面', '，', '与', '通过', '伊斯兰教', '从', '阿拉伯', '传来', '的', '印度', '故事', '一道', '保留', '下来', '。']"
academic_03_v.4.txt_0048,我以为丁方英雄主义的悲剧风格的形成有四个原因。,"['r', 'v', 'nr', 'nr', 'n', 'u', 'n', 'n', 'u', 'vn', 'v', 'm', 'q', 'n', 'ew']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]",Academic,"['我', '以为', '丁', '方', '英雄主义', '的', '悲剧', '风格', '的', '形成', '有', '四', '个', '原因', '。']"
academic_03_v.4.txt_0049,第一是个性。,"['m', 'v', 'n', 'ew']","[0, 0, 0, 0]",Academic,"['第一', '是', '个性', '。']"
academic_03_v.4.txt_0050,丁方突出的性格是意志坚强、内向、忍耐力强，强调道德的自我约束，极富男性气概。,"['nr', 'nr', 'a', 'u', 'n', 'v', 'n', 'a', 'w', 'a', 'w', 'n', 'a', 'w', 'v', 'n', 'u', 'r', 'vn', 'w', 'v', 'n', 'n', 'ew']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['丁', '方', '突出', '的', '性格', '是', '意志', '坚强', '、', '内向', '、', '忍耐力', '强', '，', '强调', '道德', '的', '自我', '约束', '，', '极富', '男性', '气概', '。']"
academic_03_v.4.txt_0051,因此，西北高原才能够在一开始就如此震撼他，并且促使他立即以＂坚实感＂作为自己风格的基石。,"['c', 'w', 's', 'n', 'd', 'v', 'p', 'm', 'v', 'd', 'r', 'v', 'r', 'w', 'c', 'v', 'r', 'd', 'p', 'w', 'a', 'ng', 'w', 'v', 'r', 'n', 'u', 'n', 'ew']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",Academic,"['因此', '，', '西北', '高原', '才', '能够', '在', '一', '开始', '就', '如此', '震撼', '他', '，', '并且', '促使', '他', '立即', '以', '＂', '坚实', '感', '＂', '作为', '自己', '风格', '的', '基石', '。']"
academic_03_v.4.txt_0052,他当时的笔记，大量谈＂夯实的土＂、＂人也像夯实的土地一样结实＂、＂他们的脊背与远处丘壑起伏的山体非常相似＂等等。,"['r', 't', 'u', 'n', 'w', 'd', 'v', 'w', 'v', 'u', 'n', 'w', 'w', 'w', 'n', 'd', 'v', 'v', 'u', 'n', 'u', 'a', 'w', 'w', 'w', 'r', 'u', 'n', 'c', 's', 'n', 'v', 'u', 'n', 'd', 'a', 'w', 'u', 'ew']","[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",Academic,"['他', '当时', '的', '笔记', '，', '大量', '谈', '＂', '夯实', '的', '土', '＂', '、', '＂', '人', '也', '像', '夯实', '的', '土地', '一样', '结实', '＂', '、', '＂', '他们', '的', '脊背', '与', '远处', '丘壑', '起伏', '的', '山体', '非常', '相似', '＂', '等等', '。']"
academic_03_v.4.txt_0053,就此而言，所谓＂仁者乐山＂在丁方的艺术中得到应验。,"['d', 'v', 'w', 'v', 'w', 'l', 'w', 'p', 'nr', 'nr', 'u', 'n', 'f', 'v', 'v', 'ew']","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0]",Academic,"['就此', '而言', '，', '所谓', '＂', '仁者乐山', '＂', '在', '丁', '方', '的', '艺术', '中', '得到', '应验', '。']"
academic_03_v.4.txt_0054,他不善机巧，而强调在信仰的自我约束中体现意志的力量。,"['r', 'v', 'an', 'w', 'c', 'v', 'p', 'n', 'u', 'r', 'vn', 'f', 'v', 'n', 'u', 'n', 'ew']","[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",Academic,"['他', '不善', '机巧', '，', '而', '强调', '在', '信仰', '的', '自我', '约束', '中', '体现', '意志', '的', '力量', '。']"
academic_03_v.4.txt_0055,因此也便在坚实的黄土高原发现了自己。,"['c', 'd', 'd', 'p', 'a', 'u', 'ns', 'v', 'u', 'r', 'ew']","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",Academic,"['因此', '也', '便', '在', '坚实', '的', '黄土高原', '发现', '了', '自己', '。']"
academic_03_v.4.txt_0056,第二是个人经历。,"['m', 'v', 'n', 'n', 'ew']","[0, 0, 0, 0, 0]",Academic,"['第二', '是', '个人', '经历', '。']"
academic_03_v.4.txt_0057,幼年的影响往往是考察人一生的重要线索。,"['t', 'u', 'vn', 'd', 'v', 'v', 'n', 'n', 'u', 'a', 'n', 'ew']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Academic,"['幼年', '的', '影响', '往往', '是', '考察', '人', '一生', '的', '重要', '线索', '。']"
academic_03_v.4.txt_0058,丁方在许多年后重返黄土高原，立即唤醒了蛰伏于他儿时记忆的陕西生活。,"['nr', 'nr', 'p', 'm', 'q', 'f', 'v', 'ns', 'w', 'd', 'v', 'u', 'v', 'p', 'r', 't', 'n', 'u', 'ns', 'n', 'ew']","[0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",Academic,"['丁', '方', '在', '许多', '年', '后', '重返', '黄土高原', '，', '立即', '唤醒', '了', '蛰伏', '于', '他', '儿时', '记忆', '的', '陕西', '生活', '。']"
